date,machine_name,machine_type,location,error_description,severity,temperature_C,vibration_mm_s,tool_wear_pct,days_since_last_service,last_service_date,failure_occurred,maintenance_required,maintenance_due_date,estimated_hours,parts_required,technician_assigned,technician_notes,status,approval_status
2025-01-01,CNC Machine #4,CNC,Floor A,Spindle bearing vibration exceeded 4.2mm/s threshold,Critical,89.7,3.77,72.4,22,2024-12-10,1,1,2025-01-03,4,"Bearing kit BR-204, M12 hex bolts x4, Anti-seize compound, Coolant 5L",Rahul Sharma,Rahul Sharma: Spindle bearing vibration exceeded 4.2mm/s threshold. Immediate action required.,Pending,Not Submitted
2025-01-01,Conveyor Belt B3,Conveyor,Floor B,Motor temperature rising to 85C,High,80.3,2.73,48.0,-31,2025-02-01,1,1,2025-01-06,2,"Motor brush set MB-12, Belt tension spring x2, Drive belt DB-B3",Rahul Sharma,Rahul Sharma: Motor temperature rising to 85C. Monitor closely.,Pending,Not Submitted
2025-01-01,Pump Station #1,Pump,Floor D,Routine inspection all parameters normal,Low,53.6,0.81,18.0,-59,2025-03-01,0,0,2025-01-21,1,"Bearing grease 100g, Seal lubricant SL-1, Filter cartridge FC-1",Sunita Rao,Sunita Rao: Routine inspection all parameters normal. Monitor closely.,Pending,Not Submitted
2025-01-04,Lathe Unit #7,Lathe,Floor B,Overhaul overdue 65 days critical,Critical,82.4,3.25,90.3,106,2024-09-20,1,1,2025-01-06,4,"Full overhaul kit OV-7, Chuck jaws set CJ-7, Coolant pump seal, Spindle bearing",Vijay Singh,Vijay Singh: Overhaul overdue 65 days critical. Immediate action required.,Pending,Not Submitted
2025-01-07,Welding Robot #1,Robot,Floor C,Joint 3 accuracy drifting 0.3mm,Critical,96.5,4.22,78.7,63,2024-11-05,1,1,2025-01-09,4,"Servo motor SV-301, Welding tip set WT-10, Joint bearing JB-3, Calibration kit",Vijay Singh,Vijay Singh: Joint 3 accuracy drifting 0.3mm. Immediate action required.,Pending,Not Submitted
2025-01-12,Hydraulic Press #2,Press,Floor A,Oil pressure dropped from 180bar to 140bar,Critical,74.1,2.18,58.6,-3,2025-01-15,1,1,2025-01-14,4,"Seal kit SK-88, Hydraulic oil 10L, O-ring set OR-22, Pressure gauge",Priya Patel,Priya Patel: Oil pressure dropped from 180bar to 140bar. Immediate action required.,Pending,Not Submitted
2025-01-13,Air Compressor #5,Compressor,Floor C,Pressure relief valve triggered unexpectedly,High,75.3,2.49,62.3,-15,2025-01-28,0,1,2025-01-18,2,"Filter element FE-55, Oil separator OS-5, Pressure valve PV-22, Air filter AF-5",Vijay Singh,Vijay Singh: Pressure relief valve triggered unexpectedly. Monitor closely.,Pending,Not Submitted
2025-01-15,Drill Press #9,Drill,Floor D,Routine lubrication completed,Low,58.7,1.02,12.6,-34,2025-02-18,0,0,2025-02-04,1,"Chuck key spring CK-9, Drive belt DB-9, Spindle oil 200ml",Priya Patel,Priya Patel: Routine lubrication completed. Monitor closely.,Pending,Not Submitted
2025-01-17,CNC Machine #4,CNC,Floor A,Motor temperature spike to 92C,Critical,89.9,4.02,74.3,53,2024-12-10,1,1,2025-01-19,4,"Bearing kit BR-204, M12 hex bolts x4, Anti-seize compound, Coolant 5L",Rahul Sharma,Rahul Sharma: Motor temperature spike to 92C. Immediate action required.,Pending,Not Submitted
2025-01-18,Welding Robot #1,Robot,Floor C,Servo motor SV-301 clicking sound,Critical,95.0,4.18,80.1,89,2024-11-05,1,1,2025-01-20,4,"Servo motor SV-301, Welding tip set WT-10, Joint bearing JB-3, Calibration kit",Vijay Singh,Vijay Singh: Servo motor SV-301 clicking sound. Immediate action required.,Pending,Not Submitted
2025-01-19,Lathe Unit #7,Lathe,Floor B,Chuck jaws worn surface finish degrading,High,83.6,3.29,91.2,136,2024-09-20,0,1,2025-01-24,2,"Full overhaul kit OV-7, Chuck jaws set CJ-7, Coolant pump seal, Spindle bearing",Vijay Singh,Vijay Singh: Chuck jaws worn surface finish degrading. Monitor closely.,Pending,Not Submitted
2025-01-20,Drill Press #9,Drill,Floor D,Chuck key spring slightly worn,Low,58.5,1.05,15.1,-14,2025-02-18,0,0,2025-02-09,1,"Chuck key spring CK-9, Drive belt DB-9, Spindle oil 200ml",Priya Patel,Priya Patel: Chuck key spring slightly worn. Monitor closely.,Pending,Not Submitted
2025-01-23,Air Compressor #5,Compressor,Floor C,Filter element FE-55 saturated,High,74.5,2.57,66.2,10,2025-01-28,1,1,2025-01-28,2,"Filter element FE-55, Oil separator OS-5, Pressure valve PV-22, Air filter AF-5",Vijay Singh,Vijay Singh: Filter element FE-55 saturated. Monitor closely.,Pending,Not Submitted
2025-01-28,Hydraulic Press #2,Press,Floor A,Cylinder seal oil leak detected,Critical,74.2,2.18,60.3,28,2025-01-15,1,1,2025-01-30,4,"Seal kit SK-88, Hydraulic oil 10L, O-ring set OR-22, Pressure gauge",Priya Patel,Priya Patel: Cylinder seal oil leak detected. Immediate action required.,Pending,Not Submitted
2025-01-28,Pump Station #1,Pump,Floor D,Minor impeller vibration within range,Low,55.0,0.77,19.6,-17,2025-03-01,0,0,2025-02-17,1,"Bearing grease 100g, Seal lubricant SL-1, Filter cartridge FC-1",Sunita Rao,Sunita Rao: Minor impeller vibration within range. Monitor closely.,Pending,Not Submitted
