date,machine_name,error_description,technician_notes,severity,parts_required,technician_assigned,maintenance_due_date,estimated_hours,status
2025-01-01,Air Compressor #5,Abnormal cycling,Vijay Singh noted: abnormal cycling. Monitoring closely.,Medium,Oil separator,Vijay Singh,2025-01-15,1,Completed
2025-01-04,Air Compressor #5,Filter saturation high,Amit Kumar noted: filter saturation high. Monitoring closely.,Low,Air filter,Amit Kumar,2025-01-18,1,Scheduled
2025-01-04,Air Compressor #5,Filter saturation high,Sunita Rao noted: filter saturation high. Monitoring closely.,Medium,Pressure valve PV-22,Sunita Rao,2025-01-18,1,Pending
2025-01-09,Air Compressor #5,Oil separator efficiency drop,Vijay Singh noted: oil separator efficiency drop. Monitoring closely.,Low,Pressure valve PV-22,Vijay Singh,2025-01-23,1,Scheduled
2025-01-15,Air Compressor #5,Oil separator efficiency drop,Priya Patel noted: oil separator efficiency drop. Monitoring closely.,Low,Pressure valve PV-22,Priya Patel,2025-01-29,1,Pending
2025-01-21,Air Compressor #5,Pressure relief valve triggered,Sunita Rao noted: pressure relief valve triggered. Monitoring closely.,High,Filter element FE-55,Sunita Rao,2025-01-28,2,Pending
2025-01-26,Air Compressor #5,Output pressure dropping,Amit Kumar noted: output pressure dropping. Monitoring closely.,Low,Pressure valve PV-22,Amit Kumar,2025-02-09,1,Pending
2025-02-05,Air Compressor #5,Oil separator efficiency drop,Vijay Singh noted: oil separator efficiency drop. Monitoring closely.,Medium,Air filter,Vijay Singh,2025-02-19,1,Pending
2025-02-15,Air Compressor #5,Filter saturation high,Priya Patel noted: filter saturation high. Monitoring closely.,Medium,Filter element FE-55,Priya Patel,2025-03-01,1,Completed
2025-02-19,Air Compressor #5,Abnormal cycling,Priya Patel noted: abnormal cycling. Monitoring closely.,Low,Pressure valve PV-22,Priya Patel,2025-03-05,1,Completed
2025-03-18,Air Compressor #5,Output pressure dropping,Amit Kumar noted: output pressure dropping. Monitoring closely.,High,Pressure valve PV-22,Amit Kumar,2025-03-25,2,Pending
2025-03-21,Air Compressor #5,Filter saturation high,Priya Patel noted: filter saturation high. Monitoring closely.,Low,Oil separator,Priya Patel,2025-04-04,1,Completed
2025-01-01,CNC Machine #4,Motor temperature spike,Sunita Rao reported: motor temperature spike. Immediate attention required.,Critical,Anti-seize compound,Sunita Rao,2025-01-04,4,Pending
2025-01-04,CNC Machine #4,Spindle bearing vibration exceeded threshold,Priya Patel noted: spindle bearing vibration exceeded threshold. Monitoring closely.,High,M12 hex bolts,Priya Patel,2025-01-11,2,Pending
2025-01-11,CNC Machine #4,Motor temperature spike,Rahul Sharma reported: motor temperature spike. Immediate attention required.,Critical,Coolant 5L,Rahul Sharma,2025-01-14,4,Completed
